File name;1,docx;2,pptx;3,pdf;4,txt;5,exe;6,jpg;7,bmp;8,jpg;9,bmp
Symbol;;;;;;;;;
89;0,00340448;0,00380159;0,00382276;0;0,00369344;0,00381714;0,00155248;0,00371276;0,00410695
90;0,0034518;0,00339019;0,00339399;0;0,00360781;0,00507058;0,00158055;0,00461613;0,00516611
91;0,00367975;0,00337289;0,00421271;0;0,00363588;0,00496319;0,00154678;0,00469229;0,00610134
92;0,00407305;0,00372277;0,00374067;0;0,0037315;0,00399757;0,00153821;0,0038728;0,00680601
93;0,00349146;0,00391934;0,00445096;0;0,00362684;0,00412549;0,00149255;0,00403815;0,00760001
94;0,00368453;0,00375882;0,00328959;0;0,00388706;0,00429828;0,00146021;0,00473278;0,00837529
95;0,00371559;0,0038237;0,00377145;0;0,00372865;0,00497703;0,00143976;0,00518205;0,00880184
96;0,0038322;0,00378237;0,00310979;0;0,00356405;0,00202289;0,00140171;0,00234518;0,00932205
97;0,00428046;0,00363722;0,00498101;0,069607;0,00368726;0,00283577;0,00138886;0,00265466;0,00934655
98;0,003858;0,00459507;0,0045161;0,00944351;0,00360115;0,00273171;0,00139743;0,00259681;0,0098365
99;0,00426038;0,00364491;0,00466468;0,0339084;0,00371009;0,00478515;0,00149921;0,00458913;0,00994314
100;0,0039077;0,00375641;0,004575;0,0244649;0,00363969;0,0031508;0,0016243;0,00307067;0,0105008
101;0,00347235;0,00354351;0,00800558;0,0925023;0,00401122;0,0034749;0,00169185;0,00366889;0,0107357
102;0,00329314;0,00520448;0,00506757;0,00591516;0,00388468;0,00367967;0,00190493;0,00398512;0,0108164
103;0,00374713;0,00415676;0,0040686;0,012453;0,00359735;0,00407919;0,00197342;0,00369734;0,0117156
104;0,00423458;0,00347862;0,0036086;0,00454015;0,00371009;0,00368349;0,00213514;0,00392824;0,0129333
105;0,0037457;0,00380495;0,00511932;0,0843819;0,0036473;0,00487584;0,00215369;0,00370553;0,0138238
106;0,0031837;0,00430623;0,00426937;0,000479958;0,00379905;0,00486152;0,00211326;0,00448886;0,0151885
107;0,00364916;0,00345267;0,00345958;0;0,00351077;0,00626436;0,00211326;0,00568724;0,0157015
108;0,00372802;0,00389339;0,0052911;0,0439357;0,00383473;0,00323194;0,00212991;0,00331651;0,0155646
109;0,00378823;0,00395635;0,00396732;0,0388507;0,00358403;0,00531115;0,00211849;0,00576293;0,0151957
110;0,00348095;0,00428412;0,00526165;0,0481645;0,00371342;0,00449684;0,00219745;0,00552961;0,0137475
111;0,0036592;0,00393664;0,00667689;0,0312103;0,00380381;0,00525578;0,00222551;0,00490777;0,0120312
112;0,0044114;0,00382274;0,0037014;0,0196005;0,00362161;0,00273457;0,00224263;0,00308079;0,0104734
113;0,00400185;0,00375401;0,00406325;0,0120898;0,0035983;0,00436319;0,00234252;0,0048398;0,00849922
114;0,00385561;0,00407121;0,00536739;0,0476586;0,00390894;0,00338898;0,0026084;0,00353778;0,00695443
115;0,00410364;0,00459363;0,00463925;0,0721754;0,00366014;0,00418229;0,00279818;0,00479352;0,00594571
116;0,00385418;0,00360214;0,00598801;0,0705928;0,00451785;0,00358039;0,00292518;0,00323312;0,00547833
117;0,00354737;0,00394289;0,0039517;0,0731872;0,00438561;0,00431594;0,00324766;0,00388051;0,00526122
118;0,00348573;0,00401354;0,00398293;0,0133351;0,00368916;0,00394649;0,00333375;0,00471205;0,00555951
119;0,00372467;0,00451481;0,00321597;0;0,00357784;0,00390353;0,00336134;0,00478099;0,00584484
120;0,00387951;0,0036675;0,00448755;0;0,00358783;0,00506104;0,00343982;0,00491885;0,00627715
121;0,00383459;0,00379967;0,00410518;0;0,00357832;0,00418181;0,00346217;0,00416637;0,00668496
122;0,00358704;0,00379006;0,00330788;0;0,00355929;0,00413265;0,0033171;0,00539705;0,00731469
123;0,00386899;0,00401258;0,0032655;0;0,00355073;0,00383909;0,0033366;0,00408201;0,00752076
124;0,00394259;0,00374007;0,00361574;0;0,00357214;0,00542905;0,00336942;0,00563229;0,00808997
125;0,00409169;0,00407121;0,00343281;0;0,003614;0,00448873;0,00323815;0,00444355;0,00835944
126;0,0039727;0,00388474;0,00368802;0;0,00367632;0,00494934;0,00324243;0,00494247;0,00862171
127;0,00385131;0,00427691;0,00534598;0;0,00350601;0,00583096;0,00329855;0,00463589;0,00926441
128;0,0038408;0,00381793;0,00312674;0;0,0036511;0,0019847;0,00327239;0,0046812;0,00970393
129;0,00383363;0,00341855;0,00311425;0;0,00434755;0,00244436;0,00330806;0,00264936;0,0104936
130;0,00371559;0,00329744;0,00279881;0;0,00362351;0,0025236;0,00328666;0,00229746;0,0107732
131;0,00414187;0,00393664;0,00309774;0;0,00438132;0,00293505;0,00316299;0,0032042;0,0109144
132;0,00510195;0,00375737;0,00279167;0;0,00359925;0,00219186;0,00306787;0,00173683;0,0103754
133;0,0042169;0,00341711;0,00295809;0;0,00426477;0,00345246;0,00306073;0,00318781;0,00968951
134;0,00428858;0,00334453;0,00325301;0;0,00352219;0,00371547;0,00313826;0,00339798;0,00866926
135;0,00424987;0,00381601;0,00343906;0;0,0036335;0,00394124;0,00315919;0,00315744;0,00769368
136;0,005317;0,00484643;0,0031486;0;0,00387184;0,00272789;0,00309688;0,00204197;0,00666046
137;0,00422645;0,00397173;0,00326014;0;0,00450216;0,00295939;0,00310211;0,00239098;0,00558113
138;0,00430387;0,00364732;0,00370363;0;0,00426477;0,00402048;0,0031649;0,00433798;0,00493698
139;0,00399038;0,00410389;0,00339979;0;0,00605489;0,00353647;0,00322625;0,00283109;0,00423376
140;0,00444963;0,00387176;0,00356978;0;0,00357737;0,00401045;0,00336467;0,00413745;0,00362276
141;0,00435548;0,00367663;0,00341363;0;0,00423813;0,00445484;0,00346074;0,00399958;0,0033994
142;0,00473397;0,00338394;0,00381875;0;0,00376052;0,00453789;0,00350022;0,00481955;0,00304058
143;0,00414712;0,00378285;0,00429793;0;0,00366966;0,00549492;0,00358774;0,00480991;0,00295556
144;0,004193;0,00328734;0,00316556;0;0,00353075;0,00230737;0,00365338;0,00215525;0,00274805
145;0,00528259;0,0036824;0,00365857;0;0,00352266;0,00381427;0,00362579;0,00358261;0,00254054
146;0,00376672;0,00383908;0,00333198;0;0,00352314;0,00380998;0,00360962;0,00296558;0,00246417
147;0,00336721;0,00414618;0,00350197;0;0,0036492;0,00392835;0,00360391;0,00362069;0,00239788
148;0,00356888;0,00358292;0,00332841;0;0,00393463;0,00243482;0,00367002;0,00239387;0,00252325
149;0,00366828;0,00322775;0,00354569;0;0,00398648;0,00410735;0,00369143;0,00437269;0,00266591
150;0,00357605;0,00352092;0,00356488;0;0,00351648;0,00397704;0,00383555;0,00334544;0,00279993
151;0,00350341;0,00365068;0,00382633;0;0,00383378;0,00399279;0,00385267;0,00382122;0,00315154
152;0,00371655;0,00450712;0,003452;0;0,00351743;0,00251835;0,00388216;0,00259199;0,00332735
153;0,00347282;0,00458402;0,00350732;0;0,00385376;0,00337466;0,00398965;0,00321432;0,00337778
154;0,00350484;0,00427931;0,00340827;0;0,0034808;0,00506151;0,00412854;0,00451923;0,00336626
155;0,00324774;0,00446963;0,00485876;0;0,00359925;0,00396654;0,00419941;0,00413407;0,00326971
156;0,00410364;0,00407746;0,00378484;0;0,00374577;0,00306249;0,00440917;0,003505;0,00290657
157;0,00355645;0,00388425;0,0032713;0;0,00382712;0,00345199;0,00457945;0,00305813;0,00274229
158;0,00375;0,00362857;0,00373799;0;0,00371057;0,0043651;0,00474021;0,00469807;0,00227251
159;0,00376672;0,00415676;0,00417033;0;0,00346795;0,00528204;0,00499801;0,00450188;0,00199583
160;0,00366446;0,00346469;0,00293176;0;0,00363778;0,00231119;0,00523868;0,00473808;0,00179841
161;0,00424366;0,00324697;0,00325167;0;0,00377384;0,00320617;0,00511549;0,00249413;0,00170474
162;0,00425465;0,00364732;0,00313745;0;0,00356833;0,00269448;0,00522774;0,00208005;0,00149435
163;0,00403243;0,00381168;0,00345021;0;0,00368678;0,00426534;0,00519825;0,00358743;0,00151741
164;0,00407401;0,0035113;0,00315173;0;0,00390656;0,00360473;0,00511168;0,00283784;0,00141942
165;0,0035101;0,00346565;0,00326461;0;0,0036335;0,00442381;0,00497755;0,00401983;0,00155199
166;0,00331799;0,00417742;0,00365188;0;0,00378288;0,00372502;0,00497423;0,00298197;0,00148282
167;0,00354498;0,00362088;0,00359209;0;0,00364492;0,00465722;0,00468409;0,00405454;0,00146697
168;0,00366159;0,00382081;0,00313432;0;0,00361733;0,00339805;0,00441963;0,0033546;0,00151453
169;0,0033328;0,00370018;0,00335652;0;0,00401598;0,00449016;0,00414994;0,003223;0,00173789
170;0,0032291;0,00518381;0,00338864;0;0,00383235;0,00376177;0,00385457;0,00406707;0,00163557
171;0,00341309;0,00418127;0,00371702;0;0,003663;0,00468825;0,00374232;0,00496224;0,00170666
172;0,00369313;0,00347814;0,00353811;0;0,0035317;0,00414458;0,00369951;0,00393161;0,00175374
173;0,00341548;0,0034445;0,00342121;0;0,00370724;0,00597511;0,00352543;0,00601166;0,00178976
174;0,00376529;0,00407746;0,00383302;0;0,00370581;0,0046114;0,00352163;0,00483257;0,00171051
175;0,0037132;0,0038732;0,00345155;0;0,00357547;0,00532309;0,00332947;0,00634091;0,001784
176;0,00394737;0,00314076;0,00303885;0;0,00351886;0,00257849;0,00319296;0,00251101;0,00154623
177;0,00393399;0,00362377;0,00405655;0;0,0038647;0,00422286;0,00315205;0,00355031;0,0017033
178;0,00356362;0,00337049;0,00367597;0;0,00354502;0,00335652;0,00314302;0,00338689;0,00154335
179;0,00336434;0,00471138;0,00453261;0;0,00354454;0,00420472;0,00307643;0,00387955;0,00166728
180;0,00387807;0,00321862;0,00333242;0;0,00354883;0,00466056;0,00309212;0,00428737;0,00151453
181;0,00323818;0,003779;0,00335785;0;0,00357642;0,00607105;0,00314682;0,00595864;0,00150012
182;0,00388524;0,00381985;0,00335116;0;0,00360829;0,00444338;0,00312019;0,0046489;0,00140213
183;0,00337294;0,00395779;0,00340916;0;0,00367156;0,00563335;0,00321151;0,00625606;0,00138339
184;0,00395836;0,00363578;0,00334447;0;0,00362779;0,00406725;0,00326335;0,00436883;0,00129117
185;0,00369648;0,00429854;0,00350018;0;0,00359497;0,00396893;0,00335801;0,00452743;0,00123353
186;0,00351392;0,00389627;0,00319456;0;0,00360924;0,0044935;0,00329617;0,00369444;0,00117588
187;0,00326829;0,00470128;0,0034395;0;0,00352742;0,00396511;0,0031825;0,00573786;0,00116868
188;0,00386374;0,00354206;0,0033989;0;0,00365301;0,00486295;0,00312019;0,0047834;0,0011413
189;0,00350866;0,00426297;0,00312228;0;0,00352789;0,00411594;0,00294182;0,00492657;0,00106492
190;0,0039727;0,0038434;0,0033235;0;0,00347509;0,00492452;0,00286762;0,00515168;0,00105196
191;0,0038408;0,00409668;0,00427696;0;0,00365824;0,00480615;0,00282957;0,0047376;0,000974139
192;0,00396505;0,00325466;0,00335518;0;0,00431235;0,00251835;0,00275347;0,0027906;0,000916498
193;0,00381643;0,00377948;0,00302858;0;0,00393178;0,00312407;0,00269211;0,00325963;0,000942436
194;0,00471342;0,00332339;0,00283361;0;0,00395746;0,00348635;0,00268117;0,0030027;0,000942436
195;0,00409838;0,00378429;0,00348457;0;0,00379762;0,00454744;0,00259651;0,00424205;0,000847809
196;0,00416576;0,0042995;0,00342924;0;0,00359925;0,00384435;0,00256845;0,0031396;0,00097462
197;0,00348095;0,00411495;0,00379019;0;0,00363017;0,00436844;0,00246618;0,00427724;0,000892
198;0,00405441;0,00355985;0,00361485;0;0,00367917;0,0046892;0,00229924;0,00442572;0,000890559
199;0,00426325;0,00370355;0,00444963;0;0,00378193;0,00548394;0,00228592;0,00603914;0,00093379
200;0,00466755;0,00340942;0,00358451;0;0,00372674;0,00300044;0,00215797;0,00306488;0,000843005
201;0,00346422;0,00405727;0,00363269;0;0,00379715;0,00351834;0,00223598;0,00340232;0,00087759
202;0,00351488;0,00309222;0,00377457;0;0,00353598;0,00334125;0,00218698;0,0035479;0,000796892
203;0,00345657;0,00406929;0,0042484;0;0,00356595;0,00416415;0,00223265;0,00429653;0,000701784
204;0,00359803;0,00482384;0,00354703;0;0,00426287;0,00331929;0,0022883;0,00367998;0,000674404
205;0,00334236;0,00484354;0,00495603;0;0,00376575;0,00473503;0,00235251;0,00502105;0,000589383
206;0,00392921;0,0040962;0,00384953;0;0,00529279;0,00348683;0,00248664;0,00358646;0,00058506
207;0,00399659;0,00416733;0,00405834;0;0,00526282;0,00476462;0,00259223;0,00497477;0,000576414
208;0,00403243;0,00338683;0,0030906;0;0,00499071;0,00304674;0,00273207;0,00393788;0,000551916
209;0,00436839;0,00385974;0,00318251;0;0,00538984;0,00356273;0,00291328;0,00278867;0,000527419
210;0,0039402;0,00336905;0,00322713;0;0,00441415;0,00453121;0,00324909;0,0043481;0,000514449
211;0,0033954;0,00431344;0,00385533;0;0,00404928;0,00470782;0,00374042;0,00406755;0,000518772
212;0,00334188;0,00385398;0,00340113;0;0,00368107;0,00452405;0,00461417;0,00388293;0,000560562
213;0,0030604;0,00468639;0,00328914;0;0,00353741;0,00427966;0,00565677;0,00414371;0,000541829
214;0,00367067;0,00373527;0,0032945;0;0,00371723;0,00541235;0,00725063;0,00528184;0,000634055
215;0,00387664;0,00425672;0,00358317;0;0,00363874;0,00539325;0,00941574;0,00548864;0,000631173
216;0,00396457;0,00314797;0,00367642;0;0,00369439;0,00319614;0,0123442;0,00298776;0,000651348
217;0,00346565;0,00425528;0,00471286;0;0,00365491;0,00371642;0,0152922;0,00341244;0,000772394
218;0,00362861;0,00354831;0,00334268;0;0,00363255;0,00563287;0,0186564;0,00560481;0,000765189
219;0,00373518;0,00434708;0,00347877;0;0,00366728;0,00517273;0,0218299;0,00607722;0,000742133
220;0,00372324;0,00416301;0,00324319;0;0,00365443;0,0040811;0,0245301;0,00496561;0,000729163
221;0,00326685;0,0046537;0,00322579;0;0,00359497;0,00437035;0,0261059;0,00525051;0,000745015
222;0,00376003;0,00414618;0,00328647;0;0,00361495;0,00463288;0,0268807;0,0048128;0,000704666
223;0,00409647;0,00400008;0,00376476;0;0,00361067;0,00473932;0,0257649;0,00480605;0,000736369
224;0,00383076;0,00338491;0,00322311;0;0,00389419;0,00344149;0,0239403;0,00373927;0,000762307
225;0,00456432;0,00356513;0,00317046;0;0,00368536;0,0051565;0,0216002;0,00451779;0,000749338
226;0,00382168;0,00390973;0,00366437;0;0,00368393;0,00538371;0,0188405;0,00479641;0,000729163
227;0,00403864;0,00377708;0,00394992;0;0,0036844;0,00542046;0,015844;0,00590561;0,000642701
228;0,00409981;0,00377708;0,00378751;0;0,00365586;0,00331881;0,0131761;0,00339895;0,000662876
229;0,00348907;0,00381553;0,00414088;0;0,00362256;0,00400282;0,0108517;0,00427049;0,000762307
230;0,00373662;0,00451962;0,00402934;0;0,00376813;0,00428873;0,00945093;0,00486053;0,000721958
231;0,00424844;0,00414234;0,00423279;0;0,00368964;0,00423384;0,00812913;0,00492657;0,000804097
232;0,00410029;0,00348343;0,00307275;0;0,00484562;0,00289686;0,00732959;0,00280795;0,000819949
233;0,00353399;0,0035411;0,00344218;0;0,00378526;0,00440758;0,00693814;0,00473085;0,000851651
234;0,00324391;0,00388137;0,00344441;0;0,0038471;0,00406678;0,00670555;0,00339123;0,000889118
235;0,00384653;0,00412552;0,00354926;0;0,00393273;0,00455794;0,00660519;0,00520664;0,000881913
236;0,00363483;0,00378525;0,00377145;0;0,00382046;0,00375031;0,00660947;0,00316322;0,000843005
237;0,00353399;0,00416349;0,00346583;0;0,00380095;0,00539564;0,00659805;0,00596732;0,000929467
238;0,00353399;0,00454605;0,00328111;0;0,00361876;0,00392454;0,00649769;0,00476122;0,000855974
239;0,00422359;0,00426393;0,00337347;0;0,00357404;0,00403146;0,00624656;0,00465806;0,000876149
240;0,00407353;0,00319362;0,00323962;0;0,00633936;0,00593644;0,00586224;0,00514301;0,00091938
241;0,00379158;0,0038088;0,00361574;0;0,00379572;0,00629157;0,00529195;0,00585548;0,000952524
242;0,00375239;0,00354206;0,00433362;0;0,00370153;0,00411499;0,00466458;0,00428592;0,000978462
243;0,00389528;0,00423029;0,00463479;0;0,00372484;0,00422429;0,00421225;0,00489331;0,000992873
244;0,0037954;0,00359205;0,00341675;0;0,00386327;0,00370926;0,00387883;0,00418083;0,00106781
245;0,00357175;0,0041409;0,00343683;0;0,00662146;0,00431546;0,00357062;0,00477135;0,00118885
246;0,00381356;0,00384196;0,0035216;0;0,00365443;0,00522189;0,00349975;0,00446573;0,00136322
247;0,00415143;0,00440811;0,00337659;0;0,00365586;0,0041336;0,00364957;0,00461227;0,00160723
248;0,00394115;0,00351948;0,00383035;0;0,00378668;0,00706149;0,00375659;0,00609506;0,00165623
249;0,00381643;0,00389435;0,00498592;0;0,00362066;0,00412692;0,00381462;0,00513047;0,00170186
250;0,00379349;0,00401979;0,00371167;0;0,00351029;0,0038873;0,00368144;0,00355658;0,00166872
251;0,00417484;0,00431151;0,00367062;0;0,00358308;0,00540853;0,00335563;0,00486583;0,00157361
252;0,00392204;0,00372517;0,00521793;0;0,00371818;0,00584909;0,00289711;0,005667;0,00126811
253;0,00380973;0,00418175;0,00382231;0;0,00358879;0,00486152;0,00219888;0,00404297;0,000969816
254;0,00382503;0,00409476;0,00528173;0;0,00358926;0,00584862;0,00127756;0,00448694;0,000446721
255;0,00376577;0,00538519;0,00763437;0;0,0175353;0,00597368;0,000896578;0,00416155;0,000608116
Entropy;7,99165;7,98564;7,94198;4,21107;7,96272;7,94928;7,47009;7,93798;7,20509
